journal,publications,citations,mean_citations,mean_fwci,cum,zone
BMJ Paediatrics Open,2,35,17.5,1.5366,3258,3
Middle East Development Journal,2,35,17.5,2.50525,3260,3
African Population Studies,2,34,17.0,2.0488,3262,3
Epidemiology Biostatistics and Public Health,2,31,15.5,1.53465,3264,3
Global Business Review,2,31,15.5,0.9711,3266,3
Social Sciences,2,30,15.0,2.03095,3268,3
BMC Medical Ethics,2,29,14.5,2.17975,3270,3
Health Culture and Society,2,29,14.5,1.21325,3272,3
IOSR Journal of Dental and Medical Sciences,2,29,14.5,0.3117,3274,3
JAMA Network Open,2,27,13.5,1.6578,3276,3
European Journal of Development Research,2,25,12.5,5.674449999999999,3278,3
Review of Economics of the Household,2,25,12.5,2.1655,3280,3
Arthaniti-Journal of Economic Theory and Practice,2,24,12.0,2.0099,3282,3
Contraception and Reproductive Medicine,2,24,12.0,2.4334,3284,3
European Journal of Business and Management,2,24,12.0,1.3678,3286,3
African Journal of Emergency Medicine,2,23,11.5,1.45365,3288,3
Journal of Social Service Research,2,23,11.5,2.1753,3290,3
World Bank Publications,2,22,11.0,3.3466,3292,3
Journal of Obstetrics and Gynaecology,2,21,10.5,1.228,3294,3
Current Research Journal of Social Sciences,2,19,9.5,0.9655,3296,3
Journal of Asian and African Studies,2,19,9.5,2.1386,3298,3
Microeconomics and macroeconomics,2,19,9.5,2.49195,3300,3
Supportive Care in Cancer,2,19,9.5,0.8648,3302,3
Journal of Education and Health Promotion,2,18,9.0,1.2873,3304,3
Family Medicine & Medical Science Research,2,17,8.5,0.9596499999999999,3306,3
International Journal of Scientific Reports,2,17,8.5,0.9417,3308,3
Canadian Medical Association Journal,2,16,8.0,0.1756,3310,3
Development Southern Africa,2,16,8.0,0.46104999999999996,3312,3
Journal of Clinical Epidemiology,2,16,8.0,0.4819,3314,3
Economic Development and Cultural Change,2,15,7.5,0.69545,3316,3
Illness Crisis & Loss,2,15,7.5,0.52205,3318,3
Indian Heart Journal,2,15,7.5,0.6111,3320,3
International Journal of Healthcare Technology and Management,2,15,7.5,2.0088,3322,3
Journal of Surgical Research,2,15,7.5,1.55725,3324,3
African Geographical Review,2,14,7.0,1.3685,3326,3
Clinical Journal of the American Society of Nephrology,2,13,6.5,1.1414499999999999,3328,3
Journal of Medical and Biomedical Sciences,2,13,6.5,0.0,3330,3
Nigerian Medical Practitioner,2,13,6.5,0.0,3332,3
Trials,2,13,6.5,1.195,3334,3
Aging and Health Research,2,12,6.0,1.8445,3336,3
Journal of Hypertension,2,12,6.0,0.79325,3338,3
Khyber Medical University Journal,2,12,6.0,1.0344,3340,3
Nigerian Quarterly Journal of Hospital Medicine,2,12,6.0,0.43015,3342,3
Annals of Tropical Medicine and Public Health,2,11,5.5,0.1925,3344,3
Ghana Journal of Geography,2,11,5.5,1.28185,3346,3
Journal of Biosocial Science,2,11,5.5,0.9607,3348,3
Public Health Challenges,2,11,5.5,0.9323,3350,3
Pyramid Journal of Medicine,2,11,5.5,0.6654,3352,3
Studies in sociology of science,2,11,5.5,1.6061999999999999,3354,3
Economic Analysis and Policy,2,10,5.0,1.7410999999999999,3356,3
International Journal of Microbiology Research,2,10,5.0,0.80305,3358,3
Medical Journal of Zambia,2,10,5.0,0.53655,3360,3
Science Journal of Public Health,2,10,5.0,0.6596,3362,3
Asia-Pacific Journal of Regional Science,2,9,4.5,0.0,3364,3
Journal of the International AIDS Society,2,9,4.5,1.0009000000000001,3366,3
Primary Health Care Open Access,2,9,4.5,0.74765,3368,3
The Open Public Health Journal,2,9,4.5,0.59405,3370,3
World health & population,2,9,4.5,0.44820000000000004,3372,3
Insurance Markets and Companies,2,8,4.0,0.8229,3374,3
International Journal of Business and Social Research,2,8,4.0,0.87025,3376,3
Journal of Market Access & Health Policy,2,8,4.0,1.24705,3378,3
South African Family Practice,2,8,4.0,2.2001999999999997,3380,3
The Egyptian Journal of Hospital Medicine,2,8,4.0,0.33865,3382,3
World Development Perspectives,2,8,4.0,1.9949000000000001,3384,3
Arts and Social Sciences Journal,2,7,3.5,0.4506,3386,3
BMC Surgery,2,7,3.5,1.1882,3388,3
Huria Journal of the Open University of Tanzania,2,7,3.5,0.6491,3390,3
Indian Journal of Psychological Medicine,2,7,3.5,1.3147,3392,3
