work_id,year,period,first_country_known,first_target,corr_country_known,corr_target,international_collaboration,n_author_countries,studied_count
W3125797568,2021,2021-2026,True,True,True,True,False,1,1
W3127103320,2021,2021-2026,True,True,False,,False,1,1
W3125696585,2021,2021-2026,True,True,False,,False,1,1
W4236813358,2021,2021-2026,True,True,False,,False,1,1
W3191175511,2021,2021-2026,True,True,False,,False,1,1
W3122586893,2021,2021-2026,True,True,True,True,False,1,1
W3138287266,2021,2021-2026,False,,False,,False,0,1
W3120954219,2021,2021-2026,True,True,True,True,True,6,1
W3126676898,2021,2021-2026,True,True,True,True,False,1,1
W3127258692,2021,2021-2026,True,False,True,False,True,3,0
W3127384555,2021,2021-2026,True,True,False,,False,1,2
W3128404768,2021,2021-2026,True,True,False,,False,1,1
W3158965486,2021,2021-2026,True,True,False,,False,1,1
W2745187776,2021,2021-2026,True,False,True,False,True,2,1
W3126151838,2021,2021-2026,True,False,False,,True,4,1
W3126632830,2021,2021-2026,True,True,False,,False,1,1
W3131997043,2021,2021-2026,True,True,False,,False,1,1
W3126951764,2021,2021-2026,True,True,True,True,False,1,1
W3126658660,2021,2021-2026,True,False,True,False,True,3,1
W3128294410,2021,2021-2026,True,True,True,True,True,2,1
W3130121767,2021,2021-2026,True,True,True,True,False,1,1
W3132164567,2021,2021-2026,True,True,True,True,False,1,1
W3132626434,2021,2021-2026,True,True,True,True,False,1,1
W3158592576,2021,2021-2026,True,False,True,False,False,1,1
W3132106654,2021,2021-2026,True,False,True,False,True,3,1
W3132848742,2021,2021-2026,True,False,True,False,True,2,1
W3131368213,2021,2021-2026,True,False,True,False,True,2,1
W3133475360,2021,2021-2026,True,True,True,True,True,2,1
W3132076554,2021,2021-2026,True,True,False,,False,1,1
W3129990307,2021,2021-2026,True,True,False,,False,1,1
W3130690995,2021,2021-2026,True,True,True,True,False,1,1
W3132178407,2021,2021-2026,True,False,True,False,True,3,1
W3119863583,2021,2021-2026,True,True,False,,True,3,1
W3134920534,2021,2021-2026,True,True,False,,False,1,1
W3133550489,2021,2021-2026,True,True,False,,True,2,1
W3134406765,2021,2021-2026,True,True,False,,True,2,1
W3134574480,2021,2021-2026,True,False,True,False,True,2,2
W3138916146,2021,2021-2026,False,,False,,False,0,1
W3135210107,2021,2021-2026,True,True,True,True,False,1,1
W3136174473,2021,2021-2026,True,True,True,True,True,2,1
W3148181690,2021,2021-2026,True,True,False,,False,1,1
W3181048760,2021,2021-2026,False,,False,,False,0,1
W2611204678,2021,2021-2026,False,,False,,False,1,1
