ref1,ref2,cocitations
W2114027117,W2168477744,9
W2140155984,W2161933266,9
W2041725211,W2128442162,9
W1981075066,W2124360428,9
W2004745343,W2795223612,9
W2016834351,W2516915067,9
W2061316418,W2795223612,9
W2115011764,W2795223612,9
W2124360428,W2170964814,9
W2128442162,W2153025271,9
W1841733224,W1997866269,9
W2020999186,W2125849337,9
W2006696925,W2140155984,9
W2114027117,W2795223612,9
W2004804433,W2132441191,9
W2110203502,W2170964814,9
W2109725907,W2115011764,9
W2116975872,W2140155984,9
W2096969338,W2152846959,9
W2119775317,W2795223612,9
W2041725211,W2161933266,9
W2110203502,W2116542195,9
W2124360428,W2601005047,9
W2142114494,W2161933266,9
W2116542195,W2128442162,9
W2170964814,W4252307431,9
W2115011764,W2142114494,9
W2142114494,W2153025271,9
W2006696925,W2549703245,9
W2125849337,W2196182430,9
W2016834351,W2117812349,9
W2126583499,W2150517994,9
W2161933266,W2168477744,9
W2044203638,W2132441191,9
W2044203638,W2153603229,9
W2004804433,W2125849337,9
W2128442162,W2140155984,8
W2116542195,W2549703245,8
W2041725211,W2196182430,8
W2102858050,W2116542195,8
W2016834351,W2116975872,8
W2019013274,W2128442162,8
W2152846959,W2801838590,8
W2132441191,W2168477744,8
W2126583499,W2196182430,8
W2061316418,W2117812349,8
W2004804433,W2119775317,8
W2110203502,W2114027117,8
W2044203638,W2801838590,8
W2119775317,W3122664795,8
W2149849126,W2801838590,8
W2041725211,W2601005047,8
W2126583499,W2516915067,8
W2061316418,W2196182430,8
W2109725907,W3122664795,8
W2801838590,W3123188741,8
W2116975872,W2117812349,8
W2041725211,W2147456678,8
W2132666096,W2168477744,8
W2116975872,W2149691825,8
W2102858050,W2114027117,8
W2096969338,W2132441191,8
W2006696925,W2126583499,8
W2110203502,W2124360428,8
W2119775317,W2125902622,8
W2041725211,W2126583499,8
W2112093136,W2124360428,8
W2128442162,W2601005047,8
W2020999186,W2196182430,8
W2004745343,W2116975872,8
W2116542195,W2795223612,8
W2124360428,W2147456678,8
W2016834351,W2142114494,8
W2126583499,W2140155984,8
W2126583499,W2132441191,8
W2096969338,W3123188741,8
W2041725211,W2044203638,8
W2019013274,W2119775317,8
W2109725907,W2601005047,8
W1997866269,W2124360428,8
W2061316418,W2102858050,8
W2116975872,W2795223612,8
W1997866269,W2102858050,8
W2516915067,W4230973621,8
W2041725211,W2516915067,8
W2019013274,W2096969338,8
W2041725211,W2108970446,8
W2117812349,W2150517994,8
W2108970446,W2110203502,8
W1841733224,W4230973621,8
W2044203638,W2096969338,7
W2119775317,W2149849126,7
W2128442162,W2170964814,7
W2116975872,W2549703245,7
W2585592226,W2801838590,7
W2031976398,W3123188741,7
W2125849337,W2168477744,7
W2096969338,W2153603229,7
W2004745343,W2153025271,7
W2125849337,W2549703245,7
W2016834351,W2137321576,7
W2115011764,W2132666096,7
W2102858050,W2142114494,7
W2020999186,W2140155984,7
W2117812349,W4230973621,7
W2110203502,W2115011764,7
W2153025271,W2168477744,7
W2142114494,W2549703245,7
W1997866269,W2772759979,7
W2004804433,W2114027117,7
W2020999186,W2126583499,7
W2147456678,W2516915067,7
W2016834351,W2041725211,7
W2041725211,W2132441191,7
W2114027117,W2142114494,7
W2153603229,W2772759979,7
W2126583499,W2795223612,7
W2117812349,W2168477744,7
W2128442162,W2772759979,7
W1981075066,W2126583499,7
W2116542195,W3122664795,7
W2126583499,W4252307431,7
W2126583499,W3122664795,7
W2112093136,W2115011764,7
W2142114494,W2147456678,7
W2044203638,W2153025271,7
W1841733224,W2112093136,7
W2096969338,W2149849126,7
W2006696925,W2044203638,7
W2044203638,W2114027117,7
W2044203638,W2115011764,7
W2004745343,W2168477744,7
W2116542195,W2116975872,7
W2128442162,W3122664795,7
W2119775317,W2153603229,7
W2004745343,W2041725211,7
W2147456678,W2170964814,7
W2006696925,W2016834351,7
W2132441191,W3122664795,7
W2041725211,W2153025271,7
W2016834351,W2132666096,7
W2132666096,W2142114494,7
W2140155984,W2150517994,7
W2149849126,W2150517994,7
W2168477744,W2795223612,7
W2147456678,W4230973621,7
W2124360428,W2150517994,7
W2031976398,W2044203638,7
W2004745343,W2150517994,7
W2150517994,W2170964814,7
W2112093136,W2168477744,7
W2004804433,W2132666096,7
W2108970446,W2196182430,7
W2044203638,W2601005047,7
W2126583499,W2153025271,7
W2112093136,W2140155984,7
W2004745343,W2102858050,7
W2019013274,W2102858050,7
W2061316418,W2124360428,7
W1997866269,W2004745343,7
W2004804433,W2044203638,7
W2126583499,W2801838590,7
W2772759979,W2795223612,7
W2549703245,W2795223612,7
W2041725211,W2795223612,7
W2016834351,W2102858050,7
W1997866269,W2096969338,7
W2128442162,W2585592226,6
W2096969338,W3122664795,6
W2116975872,W2168477744,6
W1997866269,W2116542195,6
W2601005047,W3123188741,6
W1841733224,W2153603229,6
W2020999186,W2119775317,6
W2114027117,W2549703245,6
W2117812349,W2149691825,6
W2117812349,W2132666096,6
W2795223612,W4230973621,6
W2016834351,W2126583499,6
W2016834351,W2110203502,6
W2016834351,W2044203638,6
W2044203638,W2516915067,6
W2125849337,W2149691825,6
W2019013274,W2124360428,6
W2004745343,W2006696925,6
W2516915067,W2772759979,6
W2108970446,W2516915067,6
W1997866269,W2112093136,6
W2109725907,W4230973621,6
W2115011764,W2116975872,6
W2132441191,W2142114494,6
W2142114494,W2149691825,6
W2115011764,W2147456678,6
W1841733224,W2031976398,6
W1841733224,W2096969338,6
W1981075066,W2150517994,6
W2110203502,W2153025271,6
W1841733224,W2110203502,6
W2061316418,W2128442162,6
W2128442162,W2149691825,6
W2153603229,W4252307431,6
W2019013274,W2132666096,6
W2140155984,W2147456678,6
W2041725211,W2149691825,6
W2004804433,W2168477744,6
W2109725907,W2801838590,6
W2115011764,W2170964814,6
W2116975872,W2126583499,6
W2119775317,W2601005047,6
W1841733224,W2115011764,6
W2110203502,W2140155984,6
W2126583499,W2152846959,6
W2124360428,W2126583499,6
W2019013274,W2795223612,6
W1997866269,W2142114494,6
W2109725907,W2128442162,6
W2041725211,W2102858050,6
W1981075066,W2116975872,6
W2117812349,W2124360428,6
W2004804433,W2140155984,6
W2161933266,W3122664795,6
W2096969338,W2601005047,6
W2102858050,W2149849126,6
W2137321576,W4230973621,6
W1997866269,W2149691825,6
W2110203502,W2126583499,6
W1997866269,W2110203502,6
W2020999186,W2170964814,6
W2004745343,W2004804433,6
W2153025271,W2549703245,6
W2126583499,W2168477744,6
W2117812349,W2126583499,6
W2016834351,W2149849126,6
W2128442162,W2147456678,6
W2019013274,W2196182430,6
W1582873904,W2119775317,6
W2004804433,W2031976398,6
W2116542195,W4230973621,6
W2110203502,W2196182430,6
