ref1,ref2,cocitations
W2125849337,W2153025271,13
W2006696925,W2125849337,13
W2109725907,W2153603229,13
W2125849337,W2150517994,13
W2119775317,W2168477744,13
W2114027117,W2196182430,13
W2132666096,W2140155984,13
W2044203638,W2149849126,13
W2116542195,W2516915067,13
W2168477744,W2516915067,13
W2112093136,W2132666096,13
W2004745343,W2114027117,13
W2119775317,W2132441191,13
W1997866269,W2004804433,13
W2114027117,W2516915067,13
W1841733224,W2044203638,13
W2108970446,W2168477744,13
W2016834351,W2153025271,13
W2119775317,W4230973621,13
W2115011764,W2128442162,13
W2132666096,W2153025271,13
W2140155984,W2153025271,12
W2124360428,W2132666096,12
W2041725211,W2585592226,12
W2016834351,W2112093136,12
W2119775317,W2149691825,12
W2016834351,W2196182430,12
W2601005047,W2801838590,12
W2124360428,W2585592226,12
W2004745343,W2132666096,12
W2041725211,W2549703245,12
W2006696925,W2132441191,12
W2128442162,W2516915067,12
W2128442162,W2132441191,12
W2128442162,W2150517994,12
W2061316418,W2516915067,12
W2108970446,W2112093136,12
W2125849337,W2128442162,12
W2044203638,W2109725907,12
W2004804433,W2116542195,12
W2149691825,W2196182430,12
W2119775317,W2161933266,12
W2114027117,W2161933266,12
W1981075066,W2132441191,12
W2116975872,W2516915067,12
W2124360428,W2153025271,12
W2115011764,W2117812349,12
W2016834351,W2128442162,12
W2132666096,W2549703245,12
W2041725211,W2132666096,12
W2016834351,W2124360428,12
W2102858050,W2109725907,12
W2115011764,W3122664795,12
W2019013274,W2132441191,12
W2006696925,W2041725211,11
W2772759979,W4230973621,11
W2110203502,W2142114494,11
W1841733224,W3123188741,11
W1841733224,W2142114494,11
W2152846959,W2170964814,11
W2006696925,W2142114494,11
W2016834351,W2108970446,11
W2124360428,W2142114494,11
W2016834351,W2114027117,11
W2115011764,W2196182430,11
W2125849337,W2132441191,11
W2126583499,W2149849126,11
W2108970446,W2132441191,11
W1997866269,W3122664795,11
W1997866269,W2137321576,11
W1997866269,W2031976398,11
W2116975872,W2119775317,11
W2041725211,W2114027117,11
W2112093136,W2116542195,11
W2125849337,W2132666096,11
W2102858050,W2126583499,11
W2006696925,W2115011764,11
W2006696925,W2168477744,11
W2170964814,W2801838590,11
W2149691825,W2516915067,11
W2119775317,W3123188741,11
W2114027117,W2117812349,11
W2116542195,W2125849337,11
W2041725211,W2112093136,11
W2108970446,W2125849337,11
W2031976398,W2137321576,11
W2149849126,W2153603229,11
W2061316418,W2119775317,11
W2149849126,W3123188741,11
W2019013274,W2114027117,11
W2153603229,W3123188741,11
W2116975872,W2124360428,11
W2150517994,W2153025271,11
W2150517994,W2601005047,11
W2031976398,W2109725907,11
W2004745343,W2117812349,11
W2124360428,W2795223612,11
W2020999186,W2116975872,11
W2110203502,W2112093136,10
W1997866269,W3123188741,10
W2114027117,W2124360428,10
W2149691825,W2795223612,10
W1997866269,W2016834351,10
W2585592226,W2772759979,10
W2004804433,W2115011764,10
W2004745343,W2161933266,10
W2114027117,W2125849337,10
W2004804433,W2110203502,10
W2114027117,W2132441191,10
W2096969338,W2119775317,10
W2124360428,W2549703245,10
W2126583499,W2142114494,10
W2044203638,W2112093136,10
W2114027117,W2149691825,10
W2004745343,W2128442162,10
W2115011764,W2137321576,10
W2125849337,W3122664795,10
W2115011764,W2161933266,10
W2137321576,W2150517994,10
W2161933266,W2549703245,10
W2119775317,W2153025271,10
W2114027117,W2153025271,10
W2132441191,W2516915067,10
W2137321576,W2152846959,10
W2112093136,W2126583499,10
W2124360428,W2168477744,10
W2152846959,W2585592226,10
W1841733224,W3122664795,10
W2132441191,W2150517994,10
W2142114494,W2170964814,10
W1981075066,W2132666096,10
W2096969338,W2149691825,10
W2041725211,W2110203502,10
W2041725211,W2168477744,10
W2016834351,W2161933266,10
W2124360428,W2149691825,10
W2149849126,W2772759979,10
W2119775317,W2128442162,10
W2132441191,W2161933266,10
W2119775317,W2549703245,10
W2119775317,W2150517994,10
W2108970446,W2115011764,9
W2004804433,W2112093136,9
W1981075066,W2096969338,9
W2112093136,W2132441191,9
W1997866269,W2153025271,9
W1981075066,W2168477744,9
W2168477744,W2549703245,9
W2004745343,W2126583499,9
W2102858050,W2170964814,9
W1997866269,W2132441191,9
W2102858050,W2140155984,9
W2125849337,W2161933266,9
W1997866269,W2161933266,9
W2108970446,W2140155984,9
W2132441191,W2196182430,9
W2196182430,W2772759979,9
W2041725211,W2142114494,9
W2124360428,W2772759979,9
W2044203638,W2196182430,9
W2004745343,W2124360428,9
