country1,country2,shared_references,cosine_coupling
Ethiopia,Burkina Faso,399,0.12007258816847471
Zambia,Japan,197,0.11985682681725006
Nigeria,Belgium,472,0.11983922386261979
Australia,Zambia,340,0.11941725906457934
Switzerland,China,316,0.11936219539716215
Uganda,Japan,222,0.11888839272794069
Tanzania,China,340,0.11874039076931146
Nigeria,Burkina Faso,483,0.11861026379814578
Netherlands,Cameroon,281,0.11839321312264753
Canada,Nepal,393,0.11805544559700892
Nigeria,Norway,469,0.11789552843668481
Netherlands,Pakistan,314,0.1176207341699394
Ghana,Bangladesh,524,0.11728187887568657
Uganda,Senegal,183,0.11670737988152571
Netherlands,Senegal,229,0.11633024005311125
Ethiopia,Pakistan,348,0.11539438395716949
Cameroon,Senegal,148,0.11482788232258131
Bangladesh,France,300,0.1134241765758917
South Africa,Senegal,250,0.1126528153823642
Switzerland,Cameroon,247,0.11226449329883383
Ethiopia,Zambia,321,0.11180168997934627
Ghana,Nepal,459,0.11159175738640605
Belgium,Norway,250,0.11084568390188469
Uganda,Bangladesh,272,0.109905494038649
Burkina Faso,Sweden,235,0.10945875796736586
Kenya,China,325,0.10896167466772273
Bangladesh,Belgium,265,0.10867156693125923
Nigeria,France,462,0.10814670444669806
Japan,Malawi,177,0.10796159644524597
Germany,Nepal,372,0.10742546751031871
China,Malawi,214,0.1071440717096636
France,Norway,260,0.10628364783236344
Burkina Faso,Japan,202,0.10618802888734018
Nepal,Uganda,241,0.10577604998067186
Ethiopia,Senegal,235,0.10567595845178687
Kenya,Senegal,217,0.10554861739382189
India,Malawi,479,0.10541718118802487
Ghana,Senegal,298,0.10527193906522063
Burkina Faso,Norway,245,0.10506619754906829
Norway,Cameroon,194,0.10310966190783964
Senegal,Malawi,141,0.10241790602159204
France,Sweden,230,0.10211902572623682
Ethiopia,Cameroon,273,0.10182028905042893
India,Burkina Faso,535,0.10147471169213042
Tanzania,Nepal,290,0.10112139081054754
Uganda,China,230,0.10110500592068736
India,Zambia,457,0.10032117353187867
Australia,Senegal,221,0.10021793565670731
Ethiopia,Egypt,188,0.09987128786102133
Bangladesh,Burkina Faso,245,0.09717494234727475
Nepal,Zambia,193,0.09623602573543232
Pakistan,Norway,201,0.09497896677168485
Sweden,Cameroon,164,0.09467323208778633
Norway,Japan,174,0.09363167394531899
United Kingdom,Egypt,270,0.09340215757206886
Australia,Cameroon,248,0.09327563304008793
Norway,Senegal,145,0.09291852128143821
Nepal,Belgium,208,0.09265165767372234
Pakistan,France,210,0.09240543197272129
China,Zambia,184,0.09189094421721225
Nigeria,Senegal,250,0.09173868416577267
Nepal,France,222,0.09117109240603775
Pakistan,Burkina Faso,197,0.09093859915286788
Belgium,China,200,0.08922660629953433
Bangladesh,Zambia,193,0.08859676734210763
Sweden,Senegal,125,0.0870021577053239
United States,Egypt,280,0.08668722341134118
Pakistan,Senegal,125,0.0862242456721177
Cameroon,Japan,131,0.08534855797083443
Germany,Egypt,171,0.08476407315396668
Bangladesh,Senegal,143,0.08475427274183246
China,Cameroon,155,0.08289244158038096
Zambia,Senegal,114,0.08259659590292716
Bangladesh,Cameroon,167,0.08209285897095633
Switzerland,Egypt,126,0.0815693750244784
Nepal,Malawi,162,0.0809831876108273
France,China,196,0.08061851161388042
Canada,Egypt,152,0.07837696767694229
India,Cameroon,329,0.07733937253889799
Nepal,Senegal,120,0.07725500303152574
China,Senegal,118,0.07608549942083763
Nigeria,Egypt,174,0.07542862900540803
India,Senegal,265,0.07510818631058605
China,Egypt,97,0.0738866694253432
Sweden,Egypt,89,0.07317866543133865
Kenya,Egypt,125,0.0718252747084183
Nepal,Cameroon,134,0.07155063816144754
Egypt,Malawi,83,0.07122120868642202
Pakistan,Egypt,87,0.07089459258343993
Nepal,Burkina Faso,164,0.070656457429384
South Africa,Egypt,132,0.07026684277139658
Bangladesh,Egypt,100,0.07001644109053211
China,Burkina Faso,158,0.06817727179988851
Zambia,Egypt,79,0.06761746059777045
Australia,Egypt,126,0.06749913259006211
Belgium,Egypt,88,0.06728587830889637
France,Egypt,94,0.06626488252593843
Burkina Faso,Egypt,89,0.06581871699373465
Tanzania,Egypt,109,0.0652413484854778
Uganda,Egypt,84,0.06328502896884972
Ghana,Egypt,147,0.06134626989686774
Netherlands,Egypt,102,0.061211325142824055
Japan,Egypt,64,0.05939036420094288
Cameroon,Egypt,63,0.0577431746789409
Norway,Egypt,76,0.05753370571405552
Senegal,Egypt,52,0.05746456271370259
Nepal,Egypt,74,0.05627967170064172
India,Egypt,168,0.05625033982253992
